evaluation 1130: speed 0.025388, force 0.8909 N, moment 0.2680 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1140: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1150: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1160: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1170: speed 0.025388, force 0.8918 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1180: speed 0.025388, force 0.8928 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1190: speed 0.025388, force 0.8909 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1200: speed 0.025388, force 0.8908 N, moment 0.2681 Nm, torque -0.0963 Nm, cone 1.8387 N, maximum constraint 36.774878, feasible false
evaluation 1210: speed 0.025511, force 1.0384 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.768442, feasible false
evaluation 1220: speed 0.025511, force 1.0366 N, moment 0.2020 Nm, torque -0.0553 Nm, cone 0.6037 N, maximum constraint 19.731790, feasible false
evaluation 1230: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1240: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0552 Nm, cone 0.6037 N, maximum constraint 19.765011, feasible false
evaluation 1250: speed 0.025511, force 1.0409 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.817715, feasible false
evaluation 1260: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1270: speed 0.025511, force 1.0386 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.772030, feasible false
evaluation 1280: speed 0.025511, force 1.0386 N, moment 0.2019 Nm, torque -0.0553 Nm, cone 0.6037 N, maximum constraint 19.771237, feasible false
evaluation 1290: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0553 Nm, cone 0.6037 N, maximum constraint 19.765463, feasible false
evaluation 1300: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1310: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1320: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1330: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1340: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765706, feasible false
evaluation 1350: speed 0.025511, force 1.0383 N, moment 0.2019 Nm, torque -0.0554 Nm, cone 0.6037 N, maximum constraint 19.765794, feasible false
evaluation 1360: speed 0.025000, force 1.2795 N, moment 0.6502 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.507737, feasible false
evaluation 1370: speed 0.025000, force 1.2775 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.556500, feasible false
evaluation 1380: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554179, feasible false
evaluation 1390: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0202 Nm, cone 0.6648 N, maximum constraint 31.554865, feasible false
evaluation 1400: speed 0.025000, force 1.2788 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554764, feasible false
evaluation 1410: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554261, feasible false
evaluation 1420: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554033, feasible false
evaluation 1430: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554033, feasible false
evaluation 1440: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0200 Nm, cone 0.6648 N, maximum constraint 31.553456, feasible false
evaluation 1450: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.553298, feasible false
evaluation 1460: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.553918, feasible false
evaluation 1470: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554033, feasible false
evaluation 1480: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554033, feasible false
evaluation 1490: speed 0.025000, force 1.2794 N, moment 0.6511 Nm, torque -0.0201 Nm, cone 0.6648 N, maximum constraint 31.554033, feasible false
evaluation 1500: speed 0.025002, force 0.4945 N, moment 0.1275 Nm, torque -0.0303 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1510: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1520: speed 0.025000, force 0.4926 N, moment 0.1278 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1530: speed 0.025000, force 0.4922 N, moment 0.1297 Nm, torque -0.0304 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1540: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1550: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1560: speed 0.025000, force 0.4916 N, moment 0.1275 Nm, torque -0.0301 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1570: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1580: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1590: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1600: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1610: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1620: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1630: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1640: speed 0.025000, force 0.4927 N, moment 0.1275 Nm, torque -0.0302 Nm, cone 0.6550 N, maximum constraint 13.099086, feasible false
evaluation 1650: speed 0.025000, force 0.9119 N, moment 0.3442 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.238847, feasible false
evaluation 1660: speed 0.025000, force 0.9147 N, moment 0.3461 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.293862, feasible false
evaluation 1670: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1680: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0025 Nm, cone 0.5764 N, maximum constraint 17.241610, feasible false
evaluation 1690: speed 0.025000, force 0.9119 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.237978, feasible false
evaluation 1700: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1710: speed 0.025000, force 0.9118 N, moment 0.3455 Nm, torque 0.0023 Nm, cone 0.5764 N, maximum constraint 17.236139, feasible false
evaluation 1720: speed 0.025000, force 0.9118 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.236273, feasible false
evaluation 1730: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241425, feasible false
evaluation 1740: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1750: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1760: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1770: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1780: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241256, feasible false
evaluation 1790: speed 0.025000, force 0.9121 N, moment 0.3455 Nm, torque 0.0024 Nm, cone 0.5764 N, maximum constraint 17.241485, feasible false
evaluation 1800: speed 0.025000, force 0.5106 N, moment 0.1786 Nm, torque 0.0132 Nm, cone 0.6664 N, maximum constraint 13.328917, feasible false
evaluation 1810: speed 0.025000, force 0.5137 N, moment 0.1780 Nm, torque 0.0132 Nm, cone 0.6664 N, maximum constraint 13.328917, feasible false
evaluation 1820: speed 0.025000, force 0.5107 N, moment 0.1798 Nm, torque 0.0132 Nm, cone 0.6664 N, maximum constraint 13.328917, feasible false
evaluation 1830: speed 0.025000, force 0.5107 N, moment 0.1798 Nm, torque 0.0133 Nm, cone 0.6664 N, maximum constraint 13.328917, feasible false
evaluation 1840: speed 0.025000, force 0.5093 N, moment 0.1803 Nm, torque 0.0132 Nm, cone 0.6664 N, maximum constraint 13.328917, feasible false
