evaluation 2120: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2130: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2140: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2150: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2160: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2170: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3077 Nm, penetration 0.000002 m
evaluation 2180: speed 0.040471, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2190: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2200: speed 0.040471, force 0.0217 N, moment 0.0070 Nm, torque margin 0.3076 Nm, penetration 0.000002 m
evaluation 2210: speed 0.040471, force 0.0215 N, moment 0.0070 Nm, torque margin 0.3074 Nm, penetration 0.000002 m
evaluation 2220: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3098 Nm, penetration 0.000002 m
evaluation 2230: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3090 Nm, penetration 0.000002 m
evaluation 2240: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3090 Nm, penetration 0.000002 m
evaluation 2250: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3090 Nm, penetration 0.000002 m
evaluation 2260: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3090 Nm, penetration 0.000002 m
evaluation 2270: speed 0.040465, force 0.0214 N, moment 0.0069 Nm, torque margin 0.3090 Nm, penetration 0.000002 m
