evaluation 1560: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0047 Nm, penetration 0.000082 m
evaluation 1570: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0047 Nm, penetration 0.000082 m
evaluation 1580: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0047 Nm, penetration 0.000082 m
evaluation 1590: speed 0.172662, force 0.0528 N, moment 0.0170 Nm, torque margin -0.0046 Nm, penetration 0.000082 m
evaluation 1600: speed 0.177498, force 0.0605 N, moment 0.0194 Nm, torque margin -0.0040 Nm, penetration 0.000077 m
evaluation 1610: speed 0.177520, force 0.0607 N, moment 0.0195 Nm, torque margin -0.0042 Nm, penetration 0.000077 m
evaluation 1620: speed 0.177520, force 0.0606 N, moment 0.0195 Nm, torque margin -0.0042 Nm, penetration 0.000077 m
evaluation 1630: speed 0.177520, force 0.0603 N, moment 0.0194 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1640: speed 0.177520, force 0.0606 N, moment 0.0195 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1650: speed 0.177520, force 0.0607 N, moment 0.0195 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1660: speed 0.177520, force 0.0598 N, moment 0.0192 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1670: speed 0.177520, force 0.0606 N, moment 0.0195 Nm, torque margin -0.0042 Nm, penetration 0.000077 m
evaluation 1680: speed 0.177520, force 0.0606 N, moment 0.0195 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1690: speed 0.177520, force 0.0606 N, moment 0.0195 Nm, torque margin -0.0042 Nm, penetration 0.000077 m
evaluation 1700: speed 0.177520, force 0.0605 N, moment 0.0194 Nm, torque margin -0.0043 Nm, penetration 0.000077 m
evaluation 1710: speed 0.154578, force 0.0374 N, moment 0.0120 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1720: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1730: speed 0.154593, force 0.0374 N, moment 0.0120 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1740: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1750: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1760: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1770: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1780: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1790: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1800: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1810: speed 0.154593, force 0.0373 N, moment 0.0119 Nm, torque margin -0.0308 Nm, penetration 0.000090 m
evaluation 1820: speed 0.159407, force 0.0344 N, moment 0.0111 Nm, torque margin -0.0105 Nm, penetration 0.000089 m
evaluation 1830: speed 0.159407, force 0.0345 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1840: speed 0.159407, force 0.0346 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1850: speed 0.159407, force 0.0345 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1860: speed 0.159407, force 0.0345 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1870: speed 0.159407, force 0.0346 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1880: speed 0.159407, force 0.0341 N, moment 0.0110 Nm, torque margin -0.0118 Nm, penetration 0.000089 m
evaluation 1890: speed 0.159407, force 0.0346 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1900: speed 0.159407, force 0.0345 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1910: speed 0.159407, force 0.0346 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1920: speed 0.159407, force 0.0346 N, moment 0.0111 Nm, torque margin -0.0115 Nm, penetration 0.000089 m
evaluation 1930: speed 0.173015, force 0.2833 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1940: speed 0.173015, force 0.2832 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1950: speed 0.173015, force 0.2832 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1960: speed 0.173015, force 0.2832 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1970: speed 0.173015, force 0.2832 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1980: speed 0.173015, force 0.2832 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 1990: speed 0.173015, force 0.2835 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 2000: speed 0.173015, force 0.2833 N, moment 0.0157 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 2010: speed 0.173015, force 0.2831 N, moment 0.0158 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 2020: speed 0.173015, force 0.2832 N, moment 0.0159 Nm, torque margin -0.0158 Nm, penetration 0.000083 m
evaluation 2030: speed 0.173099, force 0.0680 N, moment 0.0169 Nm, torque margin -0.0084 Nm, penetration 0.000080 m
evaluation 2040: speed 0.173077, force 0.0653 N, moment 0.0168 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
evaluation 2050: speed 0.173077, force 0.0651 N, moment 0.0169 Nm, torque margin -0.0081 Nm, penetration 0.000080 m
