evaluation 1440: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1450: speed 0.025000, force 0.3780 N, moment 0.1425 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1460: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1470: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1480: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1490: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3592 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1500: speed 0.025000, force 0.3780 N, moment 0.1424 Nm, torque 0.3591 Nm, cone 0.6475 N, maximum constraint 12.949357, feasible false
evaluation 1510: speed 0.025000, force 0.4093 N, moment 0.6542 Nm, torque 0.4396 Nm, cone 1.1180 N, maximum constraint 31.711993, feasible false
evaluation 1520: speed 0.025000, force 0.4211 N, moment 0.1991 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1530: speed 0.025000, force 0.4211 N, moment 0.1986 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1540: speed 0.025000, force 0.4188 N, moment 0.1991 Nm, torque 0.3681 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1550: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1560: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1570: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1580: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1590: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1600: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
evaluation 1610: speed 0.025000, force 0.4211 N, moment 0.1990 Nm, torque 0.3695 Nm, cone 0.6662 N, maximum constraint 13.323633, feasible false
