evaluation 1540: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1550: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1560: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1570: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1580: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1590: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1600: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1610: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1620: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1630: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1640: speed 0.036940, force 2.6328 N, moment 0.6790 Nm, torque 0.4577 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1650: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1660: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1670: speed 0.036940, force 2.6328 N, moment 0.6794 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1680: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1690: speed 0.036940, force 2.6328 N, moment 0.6791 Nm, torque 0.4580 Nm, cone 2.1983 N, maximum constraint 51.656044, feasible false
evaluation 1700: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324329, feasible false
evaluation 1710: speed 0.037282, force 2.1662 N, moment 0.8096 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324619, feasible false
evaluation 1720: speed 0.037282, force 2.1545 N, moment 0.8090 Nm, torque 0.4498 Nm, cone 1.6223 N, maximum constraint 42.089951, feasible false
evaluation 1730: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1740: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1750: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4492 Nm, cone 1.6223 N, maximum constraint 42.323739, feasible false
evaluation 1760: speed 0.037282, force 2.1662 N, moment 0.8096 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.323863, feasible false
evaluation 1770: speed 0.037282, force 2.1661 N, moment 0.8095 Nm, torque 0.4492 Nm, cone 1.6223 N, maximum constraint 42.321792, feasible false
evaluation 1780: speed 0.037282, force 2.1662 N, moment 0.8094 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324736, feasible false
evaluation 1790: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1800: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1810: speed 0.037282, force 2.1662 N, moment 0.8100 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1820: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6297 N, maximum constraint 42.324106, feasible false
evaluation 1830: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
evaluation 1840: speed 0.037282, force 2.1662 N, moment 0.8095 Nm, torque 0.4491 Nm, cone 1.6223 N, maximum constraint 42.324106, feasible false
