valid report 1310: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049100 Nm, maximum inequality 187.253572, feasible false
valid report 1320: speed 0.187145, force 9.412651 N, moment 2.307104 Nm, torque -0.049101 Nm, maximum inequality 187.253029, feasible false
valid report 1330: speed 0.187145, force 9.428391 N, moment 2.307310 Nm, torque -0.049104 Nm, maximum inequality 187.567822, feasible false
valid report 1340: speed 0.187145, force 9.412673 N, moment 2.307353 Nm, torque -0.049101 Nm, maximum inequality 187.253464, feasible false
valid report 1350: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049100 Nm, maximum inequality 187.253572, feasible false
valid report 1360: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1370: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1380: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1390: speed 0.187145, force 9.412679 N, moment 2.307354 Nm, torque -0.049101 Nm, maximum inequality 187.253572, feasible false
valid report 1400: speed 0.187145, force 9.412677 N, moment 2.307350 Nm, torque -0.049101 Nm, maximum inequality 187.253533, feasible false
valid report 1410: speed 0.187145, force 9.412675 N, moment 2.307353 Nm, torque -0.049101 Nm, maximum inequality 187.253497, feasible false
valid report 1420: speed 0.186539, force 9.382508 N, moment 2.299544 Nm, torque -0.048997 Nm, maximum inequality 186.650158, feasible false
valid report 1430: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1440: speed 0.186519, force 9.382764 N, moment 2.299606 Nm, torque -0.048998 Nm, maximum inequality 186.655288, feasible false
valid report 1450: speed 0.186519, force 9.383161 N, moment 2.299371 Nm, torque -0.048998 Nm, maximum inequality 186.663223, feasible false
valid report 1460: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1470: speed 0.186519, force 9.382759 N, moment 2.299790 Nm, torque -0.049000 Nm, maximum inequality 186.655188, feasible false
valid report 1480: speed 0.186519, force 9.382774 N, moment 2.299527 Nm, torque -0.048998 Nm, maximum inequality 186.655484, feasible false
valid report 1490: speed 0.186519, force 9.382789 N, moment 2.299597 Nm, torque -0.048998 Nm, maximum inequality 186.655771, feasible false
valid report 1500: speed 0.186519, force 9.382787 N, moment 2.299601 Nm, torque -0.048998 Nm, maximum inequality 186.655743, feasible false
valid report 1510: speed 0.186519, force 9.382763 N, moment 2.299598 Nm, torque -0.049001 Nm, maximum inequality 186.655251, feasible false
valid report 1520: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1530: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1540: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1550: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1560: speed 0.186519, force 9.382775 N, moment 2.299598 Nm, torque -0.048998 Nm, maximum inequality 186.655493, feasible false
valid report 1570: speed 0.186519, force 9.382774 N, moment 2.299605 Nm, torque -0.048998 Nm, maximum inequality 186.655481, feasible false
valid report 1580: speed 0.180733, force 9.129462 N, moment 2.232555 Nm, torque -0.048101 Nm, maximum inequality 181.589243, feasible false
valid report 1590: speed 0.186453, force 9.381074 N, moment 2.299128 Nm, torque -0.048992 Nm, maximum inequality 186.621483, feasible false
valid report 1600: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1610: speed 0.186473, force 9.380818 N, moment 2.299067 Nm, torque -0.048991 Nm, maximum inequality 186.616358, feasible false
valid report 1620: speed 0.186473, force 9.380421 N, moment 2.299302 Nm, torque -0.048991 Nm, maximum inequality 186.608430, feasible false
valid report 1630: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1640: speed 0.186473, force 9.380823 N, moment 2.298882 Nm, torque -0.048990 Nm, maximum inequality 186.616458, feasible false
valid report 1650: speed 0.186473, force 9.380808 N, moment 2.299145 Nm, torque -0.048991 Nm, maximum inequality 186.616161, feasible false
valid report 1660: speed 0.186473, force 9.380794 N, moment 2.299076 Nm, torque -0.048991 Nm, maximum inequality 186.615874, feasible false
valid report 1670: speed 0.186473, force 9.380795 N, moment 2.299071 Nm, torque -0.048991 Nm, maximum inequality 186.615903, feasible false
valid report 1680: speed 0.186473, force 9.380820 N, moment 2.299075 Nm, torque -0.048988 Nm, maximum inequality 186.616394, feasible false
valid report 1690: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048992 Nm, maximum inequality 186.616153, feasible false
valid report 1700: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1710: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1720: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1730: speed 0.186473, force 9.380808 N, moment 2.299075 Nm, torque -0.048991 Nm, maximum inequality 186.616153, feasible false
valid report 1740: speed 0.186473, force 9.380808 N, moment 2.299068 Nm, torque -0.048991 Nm, maximum inequality 186.616165, feasible false
valid report 1750: speed 0.185216, force 9.326435 N, moment 2.284642 Nm, torque -0.048789 Nm, maximum inequality 185.528699, feasible false
valid report 1760: speed 0.186457, force 9.379102 N, moment 2.298633 Nm, torque -0.048985 Nm, maximum inequality 186.582048, feasible false
valid report 1770: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582215, feasible false
valid report 1780: speed 0.186434, force 9.379171 N, moment 2.298132 Nm, torque -0.048985 Nm, maximum inequality 186.583419, feasible false
valid report 1790: speed 0.186434, force 9.379111 N, moment 2.298625 Nm, torque -0.048985 Nm, maximum inequality 186.582219, feasible false
valid report 1800: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582215, feasible false
valid report 1810: speed 0.186434, force 9.379111 N, moment 2.298624 Nm, torque -0.048984 Nm, maximum inequality 186.582215, feasible false
valid report 1820: speed 0.186434, force 9.378422 N, moment 2.298723 Nm, torque -0.048988 Nm, maximum inequality 186.568449, feasible false
valid report 1830: speed 0.186434, force 9.379114 N, moment 2.298629 Nm, torque -0.048985 Nm, maximum inequality 186.582274, feasible false
valid report 1840: speed 0.186434, force 9.379117 N, moment 2.298625 Nm, torque -0.048986 Nm, maximum inequality 186.582335, feasible false
valid report 1850: speed 0.186434, force 9.379117 N, moment 2.298624 Nm, torque -0.048985 Nm, maximum inequality 186.582341, feasible false
