evaluation 1530: speed 0.053720, force 1.0509 N, moment 0.5239 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1540: speed 0.053720, force 1.0510 N, moment 0.5239 Nm, torque -0.1804 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1550: speed 0.053720, force 1.0510 N, moment 0.5239 Nm, torque -0.1805 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1560: speed 0.053720, force 1.0510 N, moment 0.5239 Nm, torque -0.1805 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1570: speed 0.053720, force 1.0507 N, moment 0.5239 Nm, torque -0.1805 Nm, cone 4.7436 N, maximum constraint 94.872017, feasible false
evaluation 1580: speed 0.053575, force 1.0543 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1590: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1600: speed 0.053606, force 1.0544 N, moment 0.5222 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1610: speed 0.053606, force 1.0538 N, moment 0.5225 Nm, torque -0.1797 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1620: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1630: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1640: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1650: speed 0.053606, force 1.0546 N, moment 0.5226 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1660: speed 0.053606, force 1.0546 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1670: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1680: speed 0.053606, force 1.0542 N, moment 0.5225 Nm, torque -0.1795 Nm, cone 4.7432 N, maximum constraint 94.864042, feasible false
evaluation 1690: speed 0.053603, force 1.0542 N, moment 0.5226 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
evaluation 1700: speed 0.053603, force 1.0548 N, moment 0.5225 Nm, torque -0.1794 Nm, cone 4.7432 N, maximum constraint 94.863853, feasible false
