evaluation 1680: speed 0.131307, force 7.9981 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1690: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1700: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1710: speed 0.131307, force 7.9983 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1720: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1730: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1740: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1750: speed 0.131307, force 7.9982 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1760: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1770: speed 0.131309, force 7.9981 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1780: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1790: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1800: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1810: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1820: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1830: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1840: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1850: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1860: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1870: speed 0.131309, force 9.7777 N, moment 4.7045 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1880: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1890: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1900: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1910: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1920: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1930: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2650 Nm, penetration 0.000491 m
evaluation 1940: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1950: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1960: speed 0.131319, force 7.9978 N, moment 4.2434 Nm, torque margin -0.2652 Nm, penetration 0.000491 m
evaluation 1970: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1980: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 1990: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2000: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2010: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2020: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2030: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2040: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2050: speed 0.131309, force 7.9980 N, moment 4.2434 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
evaluation 2060: speed 0.131309, force 7.9980 N, moment 4.2435 Nm, torque margin -0.2651 Nm, penetration 0.000491 m
      151.10 real       149.94 user         0.46 sys
