evaluation 1380: speed 0.025015, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112552, feasible false
evaluation 1390: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1400: speed 0.025000, force 0.7056 N, moment 0.2407 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.111497, feasible false
evaluation 1410: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112243, feasible false
evaluation 1420: speed 0.025000, force 0.7085 N, moment 0.2411 Nm, torque 0.6308 Nm, cone 0.5612 N, maximum constraint 13.170471, feasible false
evaluation 1430: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1440: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6314 Nm, cone 0.5612 N, maximum constraint 13.112912, feasible false
evaluation 1450: speed 0.025000, force 0.6942 N, moment 0.2408 Nm, torque 0.6311 Nm, cone 0.5612 N, maximum constraint 12.884770, feasible false
evaluation 1460: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112608, feasible false
evaluation 1470: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1480: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1490: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1500: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1510: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112500, feasible false
evaluation 1520: speed 0.025000, force 0.7056 N, moment 0.2408 Nm, torque 0.6313 Nm, cone 0.5612 N, maximum constraint 13.112509, feasible false
evaluation 1530: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1540: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1550: speed 0.025000, force 0.4028 N, moment 0.0849 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1560: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1570: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1580: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1590: speed 0.025000, force 0.4078 N, moment 0.0850 Nm, torque 0.6284 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1600: speed 0.025000, force 0.4028 N, moment 0.0849 Nm, torque 0.6278 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1610: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6278 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1620: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1630: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1640: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1650: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1660: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
evaluation 1670: speed 0.025000, force 0.4028 N, moment 0.0850 Nm, torque 0.6277 Nm, cone 0.8169 N, maximum constraint 16.338038, feasible false
