valid report 1620: speed 0.025207, force 0.046536 N, moment 0.026898 Nm, torque 1.183852 Nm, maximum inequality 14.134659, feasible false
valid report 1630: speed 0.025208, force 0.075086 N, moment 0.025972 Nm, torque 1.195944 Nm, maximum inequality 12.883523, feasible false
valid report 1640: speed 0.025208, force 0.045973 N, moment 0.025956 Nm, torque 1.196271 Nm, maximum inequality 12.883523, feasible false
valid report 1650: speed 0.025208, force 0.048344 N, moment 0.025963 Nm, torque 1.196332 Nm, maximum inequality 12.883523, feasible false
valid report 1660: speed 0.025208, force 0.045917 N, moment 0.025733 Nm, torque 1.196231 Nm, maximum inequality 12.883523, feasible false
valid report 1670: speed 0.025208, force 0.044922 N, moment 0.025902 Nm, torque 1.195993 Nm, maximum inequality 12.883523, feasible false
valid report 1680: speed 0.025208, force 0.045987 N, moment 0.026057 Nm, torque 1.196262 Nm, maximum inequality 12.883523, feasible false
valid report 1690: speed 0.025208, force 0.045915 N, moment 0.025873 Nm, torque 1.196262 Nm, maximum inequality 12.883523, feasible false
valid report 1700: speed 0.025208, force 0.045914 N, moment 0.025872 Nm, torque 1.196262 Nm, maximum inequality 12.883523, feasible false
valid report 1710: speed 0.025208, force 0.045885 N, moment 0.025947 Nm, torque 1.196262 Nm, maximum inequality 12.883523, feasible false
valid report 1720: speed 0.025208, force 0.045914 N, moment 0.026016 Nm, torque 1.196260 Nm, maximum inequality 12.883523, feasible false
valid report 1730: speed 0.025208, force 0.045914 N, moment 0.025955 Nm, torque 1.196262 Nm, maximum inequality 12.883523, feasible false
valid report 1740: speed 0.025212, force 0.045078 N, moment 0.022146 Nm, torque 1.213384 Nm, maximum inequality 8.002624, feasible false
valid report 1750: speed 0.025212, force 0.059538 N, moment 0.022099 Nm, torque 1.214002 Nm, maximum inequality 8.002624, feasible false
valid report 1760: speed 0.025212, force 0.045287 N, moment 0.022092 Nm, torque 1.213417 Nm, maximum inequality 8.002624, feasible false
valid report 1770: speed 0.025212, force 0.043314 N, moment 0.022087 Nm, torque 1.213315 Nm, maximum inequality 8.002624, feasible false
valid report 1780: speed 0.025212, force 0.045232 N, moment 0.022544 Nm, torque 1.213407 Nm, maximum inequality 8.002624, feasible false
valid report 1790: speed 0.025212, force 0.045262 N, moment 0.022103 Nm, torque 1.213380 Nm, maximum inequality 8.002624, feasible false
valid report 1800: speed 0.025212, force 0.045229 N, moment 0.022045 Nm, torque 1.213380 Nm, maximum inequality 8.002624, feasible false
valid report 1810: speed 0.025212, force 0.045237 N, moment 0.022100 Nm, torque 1.213380 Nm, maximum inequality 8.002624, feasible false
valid report 1820: speed 0.025212, force 0.045376 N, moment 0.022099 Nm, torque 1.213380 Nm, maximum inequality 8.002624, feasible false
valid report 1830: speed 0.025212, force 0.045233 N, moment 0.022090 Nm, torque 1.213293 Nm, maximum inequality 8.002624, feasible false
valid report 1840: speed 0.025221, force 0.045720 N, moment 0.015270 Nm, torque 1.268626 Nm, maximum inequality 23.520506, feasible false
valid report 1850: speed 0.025221, force 0.045529 N, moment 0.015285 Nm, torque 1.268566 Nm, maximum inequality 23.520506, feasible false
valid report 1860: speed 0.025221, force 0.047915 N, moment 0.015285 Nm, torque 1.268614 Nm, maximum inequality 23.520506, feasible false
valid report 1870: speed 0.025221, force 0.058172 N, moment 0.015263 Nm, torque 1.270469 Nm, maximum inequality 23.520506, feasible false
valid report 1880: speed 0.025221, force 0.048240 N, moment 0.015275 Nm, torque 1.268587 Nm, maximum inequality 23.520506, feasible false
valid report 1890: speed 0.025219, force 0.045831 N, moment 0.015265 Nm, torque 1.268636 Nm, maximum inequality 23.520506, feasible false
valid report 1900: speed 0.025221, force 0.045720 N, moment 0.015270 Nm, torque 1.268626 Nm, maximum inequality 23.520506, feasible false
valid report 1910: speed 0.025221, force 0.045710 N, moment 0.015274 Nm, torque 1.268626 Nm, maximum inequality 23.520506, feasible false
valid report 1920: speed 0.025221, force 0.045719 N, moment 0.015268 Nm, torque 1.268595 Nm, maximum inequality 23.520506, feasible false
valid report 1930: speed 0.025221, force 0.045720 N, moment 0.015270 Nm, torque 1.268626 Nm, maximum inequality 23.520506, feasible false
valid report 1940: speed 0.025221, force 0.045743 N, moment 0.015276 Nm, torque 1.268559 Nm, maximum inequality 23.520506, feasible false
valid report 1950: speed 0.025222, force 0.045672 N, moment 0.015248 Nm, torque 1.269627 Nm, maximum inequality 23.047641, feasible false
valid report 1960: speed 0.025222, force 0.045623 N, moment 0.015132 Nm, torque 1.269646 Nm, maximum inequality 23.047641, feasible false
valid report 1970: speed 0.025222, force 0.045407 N, moment 0.015260 Nm, torque 1.269701 Nm, maximum inequality 23.047641, feasible false
valid report 1980: speed 0.025222, force 0.046248 N, moment 0.015237 Nm, torque 1.269573 Nm, maximum inequality 23.047641, feasible false
valid report 1990: speed 0.025222, force 0.077075 N, moment 0.015240 Nm, torque 1.268144 Nm, maximum inequality 23.047641, feasible false
valid report 2000: speed 0.025237, force 0.045507 N, moment 0.015266 Nm, torque 1.269601 Nm, maximum inequality 23.047641, feasible false
valid report 2010: speed 0.025222, force 0.045602 N, moment 0.015244 Nm, torque 1.269640 Nm, maximum inequality 23.047641, feasible false
