evaluation 1170: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1180: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1190: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1200: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1210: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1220: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1230: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1240: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1250: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1260: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1270: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1280: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1290: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1300: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1310: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1320: speed 0.062634, force 9.6864 N, moment 1.9445 Nm, torque -0.2251 Nm, cone 1.8840 N, maximum constraint 192.728954, feasible false
evaluation 1330: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777147, feasible false
evaluation 1340: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777147, feasible false
evaluation 1350: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777147, feasible false
evaluation 1360: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777147, feasible false
evaluation 1370: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777132, feasible false
evaluation 1380: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777118, feasible false
evaluation 1390: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777430, feasible false
evaluation 1400: speed 0.054309, force 5.9631 N, moment 2.6955 Nm, torque -0.3113 Nm, cone 3.5869 N, maximum constraint 133.777147, feasible false
