evaluation 1440: speed 0.187136, force 0.0516 N, moment 0.0168 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1450: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1460: speed 0.187136, force 0.0504 N, moment 0.0163 Nm, torque margin -0.0031 Nm, penetration 0.000045 m
evaluation 1470: speed 0.187136, force 0.0506 N, moment 0.0164 Nm, torque margin -0.0029 Nm, penetration 0.000045 m
evaluation 1480: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1490: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1500: speed 0.186947, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1510: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1520: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0008 Nm, penetration 0.000044 m
evaluation 1530: speed 0.186947, force 0.0500 N, moment 0.0162 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1540: speed 0.186947, force 0.0503 N, moment 0.0163 Nm, torque margin -0.0005 Nm, penetration 0.000044 m
evaluation 1550: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1560: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1570: speed 0.186947, force 0.0501 N, moment 0.0163 Nm, torque margin -0.0002 Nm, penetration 0.000044 m
evaluation 1580: speed 0.186368, force 0.0457 N, moment 0.0148 Nm, torque margin -0.0053 Nm, penetration 0.000041 m
      212.88 real       207.82 user         1.20 sys
