smoothing 0.003 evaluation 4500: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4520: force 0.0062, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4540: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4560: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4580: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4600: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4620: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4640: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4660: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4680: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4700: force 0.0061, moment 0.0022, torque Some(1.135986174460816)
smoothing 0.003 evaluation 4720: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4740: force 0.0061, moment 0.0022, torque Some(1.1358720805001101)
smoothing 0.003 evaluation 4760: force 0.0061, moment 0.0022, torque Some(1.135989866413768)
smoothing 0.003 evaluation 4780: force 0.0037, moment 0.0016, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4800: force 0.0015, moment 0.0007, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4820: force 0.0029, moment 0.0010, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4840: force 0.0010, moment 0.0004, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4860: force 0.0013, moment 0.0004, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4880: force 0.0062, moment 0.0017, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4900: force 0.0013, moment 0.0006, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4920: force 0.0024, moment 0.0002, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4940: force 0.0032, moment 0.0011, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4960: force 0.0043, moment 0.0019, torque Some(1.131140016022641)
smoothing 0.003 evaluation 4980: force 0.0013, moment 0.0004, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5000: force 0.0029, moment 0.0010, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5020: force 0.0012, moment 0.0005, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5040: force 0.0013, moment 0.0004, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5060: force 0.0059, moment 0.0016, torque Some(1.131140016022641)
smoothing 0.003 evaluation 5080: force 0.0012, moment 0.0006, torque Some(1.131140016022641)
