evaluation 42000: force 0.18594108714359353, moment 0.06988237229127565, torque Some(0.2685699496120135)
evaluation 42200: force 0.18594108714359353, moment 0.06988237229127565, torque Some(0.2685699496120135)
evaluation 42400: force 0.18593974605230928, moment 0.06988237229127565, torque Some(0.2685699496120135)
evaluation 42600: force 0.18504858068071423, moment 0.06977018937023881, torque Some(0.26808274347649624)
evaluation 42800: force 0.18504858068071423, moment 0.06977018937023881, torque Some(0.2680822523949061)
evaluation 43000: force 0.18504858068071423, moment 0.06977018937023881, torque Some(0.26808274347649624)
evaluation 43200: force 0.18504858068071423, moment 0.06977018937023881, torque Some(0.26808274347649624)
evaluation 43400: force 0.18504858068071423, moment 0.06976978937489535, torque Some(0.26808274347649624)
evaluation 43600: force 0.18504858068071423, moment 0.06977018937023881, torque Some(0.26808274347649624)
evaluation 43800: force 0.181722180561416, moment 0.0711380491890474, torque Some(0.2655093365399561)
evaluation 44000: force 0.181722180561416, moment 0.0711380491890474, torque Some(0.2655093365399561)
evaluation 44200: force 0.181722180561416, moment 0.0711380491890474, torque Some(0.2655093365399561)
evaluation 44400: force 0.181722180561416, moment 0.0711380491890474, torque Some(0.2655093365399561)
evaluation 44600: force 0.181722180561416, moment 0.07114597368377949, torque Some(0.2655093365399561)
evaluation 44800: force 0.181722180561416, moment 0.0711380491890474, torque Some(0.2655093365399561)
evaluation 45000: force 0.18121639994118077, moment 0.07128251011042033, torque Some(0.2646737710726867)
evaluation 45200: force 0.18121639994118077, moment 0.07128251011042033, torque Some(0.2646737710726867)
evaluation 45400: force 0.18121639994118077, moment 0.07128251011042033, torque Some(0.2646737710726867)
evaluation 45600: force 0.18121639994118077, moment 0.07128251011042033, torque Some(0.2646737710726867)
evaluation 45800: force 0.18121182225865953, moment 0.07128304063122161, torque Some(0.2646737710726867)
evaluation 46000: force 0.17919946845531903, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 46200: force 0.17919946845531903, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 46400: force 0.17919946845531903, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 46600: force 0.17919946845531903, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 46800: force 0.17919946845531903, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 47000: force 0.17919824348664853, moment 0.07236545742801338, torque Some(0.26222215365973733)
evaluation 47200: force 0.1756584167524194, moment 0.07526467770803862, torque Some(0.2563875555825985)
evaluation 47400: force 0.1756584167524194, moment 0.07526467770803862, torque Some(0.2563875378768103)
evaluation 47600: force 0.1756584167524194, moment 0.07526467770803862, torque Some(0.2563875555825985)
evaluation 47800: force 0.1756584167524194, moment 0.07526467770803862, torque Some(0.2563875555825985)
evaluation 48000: force 0.1756584167524194, moment 0.07526585422766317, torque Some(0.2563875555825985)
evaluation 48200: force 0.1756584167524194, moment 0.07526467770803862, torque Some(0.2563875555825985)
evaluation 48400: force 0.16900781152825278, moment 0.07594403048799307, torque Some(0.25630981004567904)
evaluation 48600: force 0.16900781152825278, moment 0.07594403048799307, torque Some(0.25630981004567904)
evaluation 48800: force 0.16900781152825278, moment 0.07594403048799307, torque Some(0.25630981004567904)
evaluation 49000: force 0.16900781152825278, moment 0.07594403048799307, torque Some(0.25630981004567904)
evaluation 49200: force 0.16900781152825278, moment 0.07594407585607951, torque Some(0.25630981004567904)
evaluation 49400: force 0.16900781152825278, moment 0.07594403048799307, torque Some(0.25630981004567904)
evaluation 49600: force 0.17263249869952874, moment 0.07493105632996208, torque Some(0.25624013595238976)
evaluation 49800: force 0.17263249869952874, moment 0.07493105632996208, torque Some(0.25624013485139085)
evaluation 50000: force 0.17263249869952874, moment 0.07493105632996208, torque Some(0.25624013485139085)
evaluation 50200: force 0.17263249869952874, moment 0.07493105632996208, torque Some(0.25624013485139085)
evaluation 50400: force 0.17244306349663838, moment 0.07498041791325213, torque Some(0.25624013485139085)
evaluation 50600: force 0.17419877740973608, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 50800: force 0.17419877740973608, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 51000: force 0.17419877740973608, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 51200: force 0.17419877740973608, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 51400: force 0.17419877740973608, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 51600: force 0.17419063541260446, moment 0.07479440111184966, torque Some(0.2560446335004442)
evaluation 51800: force 0.17452033095654088, moment 0.07487246553576271, torque Some(0.25548480874971446)
evaluation 52000: force 0.17452033095654088, moment 0.07487246553576271, torque Some(0.25548480874971446)
evaluation 52200: force 0.17452033095654088, moment 0.07487246553576271, torque Some(0.25548480874971446)
evaluation 52400: force 0.17452033095654088, moment 0.07487246553576271, torque Some(0.25548480874971446)
evaluation 52600: force 0.17452033095654088, moment 0.07487245175700832, torque Some(0.25548480874971446)
evaluation 52800: force 0.17452033095654088, moment 0.07487246553576271, torque Some(0.25548480874971446)
evaluation 53000: force 0.174037418424247, moment 0.07499464211503527, torque Some(0.25393564434188615)
evaluation 53200: force 0.174037418424247, moment 0.07499464211503527, torque Some(0.25393564434188615)
evaluation 53400: force 0.174037418424247, moment 0.07499464211503527, torque Some(0.25393564434188615)
evaluation 53600: force 0.174037418424247, moment 0.07499464211503527, torque Some(0.25393564434188615)
evaluation 53800: force 0.174037418424247, moment 0.07499566268052828, torque Some(0.25393564434188615)
evaluation 54000: force 0.174037418424247, moment 0.07499464211503527, torque Some(0.25393564434188615)
evaluation 54200: force 0.17083650037362516, moment 0.0791997834423458, torque Some(0.25047881668464855)
evaluation 54400: force 0.17083650037362516, moment 0.0791997834423458, torque Some(0.2504788207718902)
evaluation 54600: force 0.17083650037362516, moment 0.0791997834423458, torque Some(0.2504788207718902)
evaluation 54800: force 0.17083650037362516, moment 0.0791997834423458, torque Some(0.2504788207718902)
evaluation 55000: force 0.17080299825817177, moment 0.07915320264229628, torque Some(0.2504788207718902)
evaluation 55200: force 0.17340050327703416, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 55400: force 0.17340050327703416, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 55600: force 0.17340050327703416, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 55800: force 0.17340050327703416, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 56000: force 0.17340050327703416, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 56200: force 0.17331999523014907, moment 0.07546444432091667, torque Some(0.24941548733090255)
evaluation 56400: force 0.17233901734984491, moment 0.07598845157080797, torque Some(0.24842289813851387)
evaluation 56600: force 0.17233901734984491, moment 0.07598845157080797, torque Some(0.24842289813851387)
evaluation 56800: force 0.17233901734984491, moment 0.07598845157080797, torque Some(0.24842289813851387)
evaluation 57000: force 0.17233901734984491, moment 0.07598845157080797, torque Some(0.24842289813851387)
evaluation 57200: force 0.17233901734984491, moment 0.07598866191085374, torque Some(0.24842289813851387)
evaluation 57400: force 0.17233901734984491, moment 0.07598845157080797, torque Some(0.24842289813851387)
evaluation 57600: force 0.16759991309914563, moment 0.07614549343808112, torque Some(0.24838814626153402)
evaluation 57800: force 0.16759991309914563, moment 0.07614549343808112, torque Some(0.24838814626153402)
evaluation 58000: force 0.16759991309914563, moment 0.07614549343808112, torque Some(0.24838814626153402)
evaluation 58200: force 0.16759991309914563, moment 0.07614549343808112, torque Some(0.24838814626153402)
evaluation 58400: force 0.16759991309914563, moment 0.07588925836275247, torque Some(0.24838814626153402)
evaluation 58600: force 0.16759991309914563, moment 0.07614549343808112, torque Some(0.24838814626153402)
evaluation 58800: force 0.16966854338834175, moment 0.075634948479794, torque Some(0.2483568061591748)
evaluation 59000: force 0.16966854338834175, moment 0.075634948479794, torque Some(0.248356805048855)
evaluation 59200: force 0.16966854338834175, moment 0.075634948479794, torque Some(0.248356805048855)
evaluation 59400: force 0.16966854338834175, moment 0.075634948479794, torque Some(0.248356805048855)
evaluation 59600: force 0.16934859588329026, moment 0.07563592838710344, torque Some(0.248356805048855)
evaluation 59800: force 0.17037202329297585, moment 0.07562922032845781, torque Some(0.24826551426107027)
evaluation 60000: force 0.17037202329297585, moment 0.07562922032845781, torque Some(0.24826551426107027)
evaluation 60200: force 0.17037202329297585, moment 0.07562922032845781, torque Some(0.24826551426107027)
evaluation 60400: force 0.17037202329297585, moment 0.07562922032845781, torque Some(0.24826551426107027)
evaluation 60600: force 0.17037202329297585, moment 0.07562922032845781, torque Some(0.24826551426107027)
evaluation 60800: force 0.17037519595621556, moment 0.07562922032845781, torque Some(0.24826551426107027)
