smoothing 0.003 evaluation 4180: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4200: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4220: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4240: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4260: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4280: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4300: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4320: force 5.9403, moment 0.6500, torque Some(-0.07141538770172207)
smoothing 0.003 evaluation 4340: force 5.8850, moment 0.6729, torque Some(-0.10453203392411681)
smoothing 0.003 evaluation 4360: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4380: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4400: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4420: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4440: force 5.8853, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4460: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4480: force 5.8849, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4500: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4520: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4540: force 5.8849, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4560: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4580: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4600: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4620: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4640: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4660: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4680: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
smoothing 0.003 evaluation 4700: force 5.8850, moment 0.6729, torque Some(-0.10453206641521529)
