evaluation 34600: force 0.11630034531329395, moment 0.06390421337063416, torque Some(0.3323803757826014)
evaluation 34800: force 0.11630034531329395, moment 0.06390421337063416, torque Some(0.3323803757826014)
evaluation 35000: force 0.11630034531329395, moment 0.06390421337063416, torque Some(0.3323803757826014)
evaluation 35200: force 0.11630034531329395, moment 0.06390421337063416, torque Some(0.3323803757826014)
evaluation 35400: force 0.11630035646809603, moment 0.06390422302108804, torque Some(0.3323803757826014)
evaluation 35600: force 0.11630034531329395, moment 0.06390421337063416, torque Some(0.3323803757826014)
evaluation 35800: force 0.11599532659318434, moment 0.063384140839742, torque Some(0.3326846390317122)
evaluation 36000: force 0.11599532659318434, moment 0.063384140839742, torque Some(0.3326846390317122)
evaluation 36200: force 0.11599532659318434, moment 0.063384140839742, torque Some(0.3326846390317122)
evaluation 36400: force 0.11599532659318434, moment 0.063384140839742, torque Some(0.3326846390317122)
evaluation 36600: force 0.11599294519735293, moment 0.06338776089505171, torque Some(0.3326846390317122)
evaluation 36800: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846059162703)
evaluation 37000: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846018314248)
evaluation 37200: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846059162703)
evaluation 37400: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846059162703)
evaluation 37600: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846059162703)
evaluation 37800: force 0.11624947070885823, moment 0.06343865533963725, torque Some(0.3329846059162703)
evaluation 38000: force 0.11596333462003208, moment 0.06308361862477885, torque Some(0.33307745483846674)
evaluation 38200: force 0.11596333462003208, moment 0.06308361862477885, torque Some(0.33307745483846674)
evaluation 38400: force 0.11596333462003208, moment 0.06308361862477885, torque Some(0.33307745483846674)
evaluation 38600: force 0.11596333462003208, moment 0.06308361862477885, torque Some(0.33307745483846674)
evaluation 38800: force 0.11596561598991238, moment 0.06308288899706367, torque Some(0.33307745483846674)
evaluation 39000: force 0.11596333462003208, moment 0.06308361862477885, torque Some(0.33307745483846674)
evaluation 39200: force 0.11620698895754661, moment 0.06325453452784294, torque Some(0.333169199970649)
evaluation 39400: force 0.11620698895754661, moment 0.06325453452784294, torque Some(0.333169199970649)
evaluation 39600: force 0.11620698895754661, moment 0.06325453452784294, torque Some(0.333169199970649)
evaluation 39800: force 0.11620698895754661, moment 0.06325453452784294, torque Some(0.333169199970649)
evaluation 40000: force 0.11620704160092338, moment 0.06325472537437679, torque Some(0.333169199970649)
evaluation 40200: force 0.11620698895754661, moment 0.06325453452784294, torque Some(0.333169199970649)
evaluation 40400: force 0.11591942125530715, moment 0.06276426045363627, torque Some(0.3334401278473301)
evaluation 40600: force 0.11591942125530715, moment 0.06276426045363627, torque Some(0.3334401278473301)
evaluation 40800: force 0.11591942125530715, moment 0.06276426045363627, torque Some(0.3334401278473301)
evaluation 41000: force 0.11591942125530715, moment 0.06276426045363627, torque Some(0.3334401278473301)
evaluation 41200: force 0.1160284272262619, moment 0.06272703179447767, torque Some(0.3334401278473301)
evaluation 41400: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.33371086418260243)
evaluation 41600: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.3337108658633843)
evaluation 41800: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.33371086418260243)
evaluation 42000: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.33371086418260243)
evaluation 42200: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.33371086418260243)
evaluation 42400: force 0.11619018409753401, moment 0.06283675387754616, torque Some(0.33371086418260243)
evaluation 42600: force 0.11590627761807075, moment 0.06249225107767451, torque Some(0.3337923063055111)
evaluation 42800: force 0.11590627761807075, moment 0.06249225107767451, torque Some(0.3337923063055111)
evaluation 43000: force 0.11590627761807075, moment 0.06249225107767451, torque Some(0.3337923063055111)
evaluation 43200: force 0.11590627761807075, moment 0.06249225107767451, torque Some(0.3337923063055111)
evaluation 43400: force 0.11588817170623146, moment 0.06249910524660853, torque Some(0.3337923063055111)
evaluation 43600: force 0.11590627761807075, moment 0.06249225107767451, torque Some(0.3337923063055111)
evaluation 43800: force 0.11614398164429737, moment 0.06267093502267497, torque Some(0.3338731849869009)
evaluation 44000: force 0.11614398164429737, moment 0.06267093502267497, torque Some(0.3338731849869009)
evaluation 44200: force 0.11614398164429737, moment 0.06267093502267497, torque Some(0.3338731849869009)
evaluation 44400: force 0.11614398164429737, moment 0.06267093502267497, torque Some(0.3338731849869009)
evaluation 44600: force 0.11669040998570485, moment 0.06246529242787878, torque Some(0.3338731849869009)
evaluation 44800: force 0.11614398164429737, moment 0.06267093502267497, torque Some(0.3338731849869009)
evaluation 45000: force 0.11593266984536535, moment 0.0623959533031987, torque Some(0.33395407826528334)
evaluation 45200: force 0.11593266984536535, moment 0.0623959533031987, torque Some(0.33395407826528334)
evaluation 45400: force 0.11593266984536535, moment 0.0623959533031987, torque Some(0.33395407826528334)
evaluation 45600: force 0.11593266984536535, moment 0.0623959533031987, torque Some(0.33395407826528334)
evaluation 45800: force 0.115932683569229, moment 0.06239602594734546, torque Some(0.33395407826528334)
evaluation 46000: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.3340349976932317)
evaluation 46200: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.33403499774276324)
evaluation 46400: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.3340349976932317)
evaluation 46600: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.3340349976932317)
evaluation 46800: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.3340349976932317)
evaluation 47000: force 0.1161266541618819, moment 0.06252319004347016, torque Some(0.3340349976932317)
evaluation 47200: force 0.11588924008518572, moment 0.06209001452500714, torque Some(0.33427776826590555)
evaluation 47400: force 0.11588924008518572, moment 0.06209001452500714, torque Some(0.33427727741841934)
evaluation 47600: force 0.11588924008518572, moment 0.06209001452500714, torque Some(0.33427776826590555)
evaluation 47800: force 0.11588924008518572, moment 0.06209001452500714, torque Some(0.33427776826590555)
evaluation 48000: force 0.11588903511576329, moment 0.06209000775067027, torque Some(0.33427776826590555)
evaluation 48200: force 0.11588924008518572, moment 0.06209001452500714, torque Some(0.33427776826590555)
evaluation 48400: force 0.11613521128895428, moment 0.062159459516932226, torque Some(0.33452024392043933)
evaluation 48600: force 0.11613521128895428, moment 0.062159459516932226, torque Some(0.33452024392043933)
evaluation 48800: force 0.11613521128895428, moment 0.062159459516932226, torque Some(0.33452024392043933)
evaluation 49000: force 0.11613521128895428, moment 0.062159459516932226, torque Some(0.33452024392043933)
evaluation 49200: force 0.11611875816501362, moment 0.06216539752362354, torque Some(0.33452024392043933)
evaluation 49400: force 0.11613521128895428, moment 0.062159459516932226, torque Some(0.33452024392043933)
evaluation 49600: force 0.11574023499148685, moment 0.06118772795321091, torque Some(0.3352327806671049)
evaluation 49800: force 0.11574023499148685, moment 0.06118772795321091, torque Some(0.3352327817715373)
evaluation 50000: force 0.11574023499148685, moment 0.06118772795321091, torque Some(0.3352327817715373)
evaluation 50200: force 0.11574023499148685, moment 0.06118772795321091, torque Some(0.3352327817715373)
evaluation 50400: force 0.11583328778439267, moment 0.06115206156480315, torque Some(0.3352327817715373)
evaluation 50600: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 50800: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 51000: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 51200: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 51400: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 51600: force 0.11607939006632766, moment 0.06136265995851065, torque Some(0.3354697745953591)
evaluation 51800: force 0.11585666272575107, moment 0.060537741024497195, torque Some(0.3361757481691263)
evaluation 52000: force 0.11585666272575107, moment 0.060537741024497195, torque Some(0.3361757481691263)
evaluation 52200: force 0.11585666272575107, moment 0.060537741024497195, torque Some(0.3361757481691263)
evaluation 52400: force 0.11585666272575107, moment 0.060537741024497195, torque Some(0.3361757481691263)
evaluation 52600: force 0.11585664045565275, moment 0.060537754779121634, torque Some(0.3361757481691263)
evaluation 52800: force 0.11585666272575107, moment 0.060537741024497195, torque Some(0.3361757481691263)
evaluation 53000: force 0.11608400510303518, moment 0.060644587868624415, torque Some(0.3363818363087626)
evaluation 53200: force 0.11608400510303518, moment 0.060644587868624415, torque Some(0.3363818363087626)
evaluation 53400: force 0.11608400510303518, moment 0.060644587868624415, torque Some(0.3363818363087626)
evaluation 53600: force 0.11608400510303518, moment 0.060644587868624415, torque Some(0.3363818363087626)
evaluation 53800: force 0.11608295566242544, moment 0.060646497418064965, torque Some(0.3363818363087626)
evaluation 54000: force 0.11608400510303518, moment 0.060644587868624415, torque Some(0.3363818363087626)
evaluation 54200: force 0.11574965747499433, moment 0.06007576898546476, torque Some(0.3365959305092876)
evaluation 54400: force 0.11574965747499433, moment 0.06007576898546476, torque Some(0.33659593710382196)
evaluation 54600: force 0.11574965747499433, moment 0.06007576898546476, torque Some(0.33659593710382196)
evaluation 54800: force 0.11574965747499433, moment 0.06007576898546476, torque Some(0.33659593710382196)
evaluation 55000: force 0.11573131824626712, moment 0.06008265534762665, torque Some(0.33659593710382196)
evaluation 55200: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 55400: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 55600: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 55800: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 56000: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 56200: force 0.11604858524659546, moment 0.06028033780245569, torque Some(0.33680733807635854)
evaluation 56400: force 0.11576352651725036, moment 0.05941347826938177, torque Some(0.33742177377070093)
evaluation 56600: force 0.11576352651725036, moment 0.05941347826938177, torque Some(0.33742177377070093)
evaluation 56800: force 0.11576352651725036, moment 0.05941347826938177, torque Some(0.33742177377070093)
evaluation 57000: force 0.11576352651725036, moment 0.05941347826938177, torque Some(0.33742177377070093)
evaluation 57200: force 0.1157628108427255, moment 0.059413888551202734, torque Some(0.33742177377070093)
evaluation 57400: force 0.11576352651725036, moment 0.05941347826938177, torque Some(0.33742177377070093)
evaluation 57600: force 0.11602204350446861, moment 0.05963022110779651, torque Some(0.33761230462876357)
evaluation 57800: force 0.11602204350446861, moment 0.05963022110779651, torque Some(0.33761230462876357)
evaluation 58000: force 0.11602204350446861, moment 0.05963022110779651, torque Some(0.33761230462876357)
evaluation 58200: force 0.11602204350446861, moment 0.05963022110779651, torque Some(0.33761230462876357)
evaluation 58400: force 0.11602482398676703, moment 0.0596259841888999, torque Some(0.33761230462876357)
evaluation 58600: force 0.11602204350446861, moment 0.05963022110779651, torque Some(0.33761230462876357)
evaluation 58800: force 0.11567859884991133, moment 0.0587705992739539, torque Some(0.33816159402805074)
evaluation 59000: force 0.11567859884991133, moment 0.0587705992739539, torque Some(0.33816158352449294)
evaluation 59200: force 0.11567859884991133, moment 0.0587705992739539, torque Some(0.33816158352449294)
evaluation 59400: force 0.11567859884991133, moment 0.0587705992739539, torque Some(0.33816158352449294)
evaluation 59600: force 0.11567834710936858, moment 0.058770608097643375, torque Some(0.33816158352449294)
evaluation 59800: force 0.11596493090997143, moment 0.059011400804549786, torque Some(0.33833611465932867)
evaluation 60000: force 0.11596493090997143, moment 0.059011400804549786, torque Some(0.33833611465932867)
