smoothing 0.003 evaluation 740: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 760: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 780: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 800: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 820: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 840: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 860: force 39.2677, moment 8.7208, torque Some(-4.8889741363091455)
smoothing 0.003 evaluation 880: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 900: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 920: force 6.4022, moment 3.2342, torque Some(-1.3679843523341766)
smoothing 0.003 evaluation 940: force 6.4021, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 960: force 6.4021, moment 3.2348, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 980: force 6.3974, moment 3.2363, torque Some(-1.3675582328340294)
smoothing 0.003 evaluation 1000: force 6.4034, moment 3.2341, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1020: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1040: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1060: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1080: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1100: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1120: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1140: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1160: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1180: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1200: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1220: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1240: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1260: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1280: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1300: force 6.4019, moment 3.2342, torque Some(-1.3679990254846552)
smoothing 0.003 evaluation 1320: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1340: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1360: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1380: force 4.5376, moment 2.2283, torque Some(-0.2476949425436299)
smoothing 0.003 evaluation 1400: force 4.5378, moment 2.2333, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1420: force 4.5389, moment 2.2316, torque Some(-0.24825841215973066)
smoothing 0.003 evaluation 1440: force 4.5385, moment 2.2308, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1460: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1480: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1500: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1520: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1540: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1560: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1580: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1600: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1620: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1640: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1660: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
smoothing 0.003 evaluation 1680: force 4.5381, moment 2.2309, torque Some(-0.2476792326835855)
