evaluation 40600: force 0.14776904322495688, moment 0.04531010827639048, torque Some(-0.000285628685926298)
evaluation 40800: force 0.14776904322495688, moment 0.04531010827639048, torque Some(-0.000285628685926298)
evaluation 41000: force 0.14776904322495688, moment 0.04531010827639048, torque Some(-0.000285628685926298)
evaluation 41200: force 0.14776904322495688, moment 0.04531010827639048, torque Some(-0.000285628685926298)
evaluation 41400: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 41600: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 41800: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 42000: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 42200: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 42400: force 0.14716774616448483, moment 0.045198972261541126, torque Some(-0.0002542001894019208)
evaluation 42600: force 0.14699712727310077, moment 0.04510529714950162, torque Some(-0.000234432177799615)
evaluation 42800: force 0.14699712727310077, moment 0.04510006875447936, torque Some(-0.000234432177799615)
evaluation 43000: force 0.14699712727310077, moment 0.04510529714950162, torque Some(-0.000234432177799615)
evaluation 43200: force 0.14699712727310077, moment 0.04510529714950162, torque Some(-0.000234432177799615)
evaluation 43400: force 0.14712170242679923, moment 0.04510529714950162, torque Some(-0.000234432177799615)
evaluation 43600: force 0.14699712727310077, moment 0.04510529714950162, torque Some(-0.000234432177799615)
evaluation 43800: force 0.14696244876009823, moment 0.04508849490931133, torque Some(-0.00022636548924870326)
evaluation 44000: force 0.14696244876009823, moment 0.045084114028403066, torque Some(-0.00022683869334860773)
evaluation 44200: force 0.14696244876009823, moment 0.04508849490931133, torque Some(-0.00022683869334860773)
evaluation 44400: force 0.14696244876009823, moment 0.04508849490931133, torque Some(-0.00022683869334860773)
evaluation 44600: force 0.1469772027048708, moment 0.04508849490931133, torque Some(-0.00022683869334860773)
evaluation 44800: force 0.14696244876009823, moment 0.04508849490931133, torque Some(-0.00022683869334860773)
evaluation 45000: force 0.14681199407115378, moment 0.04504075677423747, torque Some(-0.00019101979116653567)
evaluation 45200: force 0.14681199407115378, moment 0.04504075677423747, torque Some(-0.00019101979116653567)
evaluation 45400: force 0.14681199407115378, moment 0.04504075677423747, torque Some(-0.00019101979116653567)
evaluation 45600: force 0.14681199407115378, moment 0.04504075677423747, torque Some(-0.00019101979116653567)
evaluation 45800: force 0.14681199407115378, moment 0.04504075677423747, torque Some(-0.00019101979116653567)
evaluation 46000: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 46200: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 46400: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 46600: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 46800: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 47000: force 0.14637154864609084, moment 0.044872528759852814, torque Some(-0.00011183905157641227)
evaluation 47200: force 0.14507183278628705, moment 0.04441464223418001, torque Some(0.0001400650316636387)
evaluation 47400: force 0.14507183278628705, moment 0.04441066271592087, torque Some(0.0001400650316636387)
evaluation 47600: force 0.14507183278628705, moment 0.04441464223418001, torque Some(0.0001400650316636387)
evaluation 47800: force 0.14507183278628705, moment 0.04441464223418001, torque Some(0.0001400650316636387)
evaluation 48000: force 0.14510335868445978, moment 0.04441464223418001, torque Some(0.0001400650316636387)
evaluation 48200: force 0.14507183278628705, moment 0.04441464223418001, torque Some(0.0001400650316636387)
evaluation 48400: force 0.14408352621203513, moment 0.044112522600187054, torque Some(0.0003522371383495315)
evaluation 48600: force 0.14408352621203513, moment 0.04411252461962811, torque Some(0.0003522371383495315)
evaluation 48800: force 0.14408352621203513, moment 0.044112522600187054, torque Some(0.0003522371383495315)
evaluation 49000: force 0.14408352621203513, moment 0.044112522600187054, torque Some(0.0003522371383495315)
evaluation 49200: force 0.14410219231811106, moment 0.044112522600187054, torque Some(0.0003522371383495315)
evaluation 49400: force 0.14408352621203513, moment 0.044112522600187054, torque Some(0.0003522371383495315)
evaluation 49600: force 0.14380663495754437, moment 0.044055870336359604, torque Some(0.00042840513220632204)
evaluation 49800: force 0.14380663495754437, moment 0.044055870336359604, torque Some(0.00042840513220632204)
evaluation 50000: force 0.14380663495754437, moment 0.044055870336359604, torque Some(0.00042840513220632204)
evaluation 50200: force 0.14380663495754437, moment 0.044055870336359604, torque Some(0.00042840513220632204)
evaluation 50400: force 0.14380663495754437, moment 0.044055870336359604, torque Some(0.00042840513220632204)
evaluation 50600: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 50800: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 51000: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 51200: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 51400: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 51600: force 0.14309730916650118, moment 0.043784941037345426, torque Some(0.0005702326476176578)
evaluation 51800: force 0.1428556573223985, moment 0.04370219330648517, torque Some(0.0005997890047298449)
evaluation 52000: force 0.1428556573223985, moment 0.04370219077094695, torque Some(0.0005997668790613253)
evaluation 52200: force 0.1428556573223985, moment 0.04370219330648517, torque Some(0.0005997668790613253)
evaluation 52400: force 0.1428556573223985, moment 0.04370219330648517, torque Some(0.0005997668790613253)
evaluation 52600: force 0.14285153403676154, moment 0.04370219330648517, torque Some(0.0005997668790613253)
evaluation 52800: force 0.1428556573223985, moment 0.04370219330648517, torque Some(0.0005997668790613253)
evaluation 53000: force 0.14262192688295813, moment 0.04359002479734109, torque Some(0.0006030181045032501)
evaluation 53200: force 0.14262192688295813, moment 0.0435847576124353, torque Some(0.0006030181045032501)
evaluation 53400: force 0.14262192688295813, moment 0.04359002479734109, torque Some(0.0006030181045032501)
evaluation 53600: force 0.14262192688295813, moment 0.04359002479734109, torque Some(0.0006030181045032501)
evaluation 53800: force 0.1426211557115141, moment 0.04359002479734109, torque Some(0.0006030181045032501)
evaluation 54000: force 0.14262192688295813, moment 0.04359002479734109, torque Some(0.0006030181045032501)
evaluation 54200: force 0.1419957398126633, moment 0.04332719080068426, torque Some(0.0006328819231755378)
evaluation 54400: force 0.1419957398126633, moment 0.04332719080068426, torque Some(0.0006328819231755378)
evaluation 54600: force 0.1419957398126633, moment 0.04332719080068426, torque Some(0.0006328819231755378)
evaluation 54800: force 0.1419957398126633, moment 0.04332719080068426, torque Some(0.0006328819231755378)
evaluation 55000: force 0.1419957398126633, moment 0.04332719080068426, torque Some(0.0006328819231755378)
evaluation 55200: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 55400: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 55600: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 55800: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 56000: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 56200: force 0.1413971802249299, moment 0.04307039567931703, torque Some(0.0006909050724149546)
evaluation 56400: force 0.1408572498744235, moment 0.042844573930347574, torque Some(0.0007025449528033634)
evaluation 56600: force 0.1408572498744235, moment 0.042848045119970646, torque Some(0.0007025261790042092)
evaluation 56800: force 0.1408572498744235, moment 0.042844573930347574, torque Some(0.0007025261790042092)
evaluation 57000: force 0.1408572498744235, moment 0.042844573930347574, torque Some(0.0007025261790042092)
evaluation 57200: force 0.1408538546904371, moment 0.042844573930347574, torque Some(0.0007025261790042092)
evaluation 57400: force 0.1408572498744235, moment 0.042844573930347574, torque Some(0.0007025261790042092)
evaluation 57600: force 0.14068085330208585, moment 0.04276832165659972, torque Some(0.0007012513177543644)
evaluation 57800: force 0.14068085330208585, moment 0.04277447658063038, torque Some(0.0006997850908578851)
