smoothing 0.0003 evaluation 1120: force 38.1172, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1140: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1160: force 38.1175, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1180: force 38.1146, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1200: force 38.1172, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1220: force 38.1174, moment 11.8557, torque Some(-4.389599462308965)
smoothing 0.0003 evaluation 1240: force 38.1174, moment 11.8557, torque Some(-4.390118860437813)
smoothing 0.0003 evaluation 1260: force 38.1174, moment 11.8557, torque Some(-4.3898502277101015)
smoothing 0.0003 evaluation 1280: force 38.1174, moment 11.8557, torque Some(-4.390129418864195)
smoothing 0.0003 evaluation 1300: force 38.1174, moment 11.8557, torque Some(-4.3899197800284995)
smoothing 0.0003 evaluation 1320: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1340: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1360: force 23.3812, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1380: force 23.3811, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1400: force 23.3806, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1420: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1440: force 23.4114, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1460: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1480: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1500: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1520: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1540: force 23.3809, moment 10.6593, torque Some(-3.045695225781899)
smoothing 0.0003 evaluation 1560: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1580: force 23.3809, moment 10.6598, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1600: force 23.3809, moment 10.6589, torque Some(-3.045700201452874)
smoothing 0.0003 evaluation 1620: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1640: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1660: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1680: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
smoothing 0.0003 evaluation 1700: force 23.3809, moment 10.6594, torque Some(-3.0457066686075516)
