smoothing 0.003 evaluation 4720: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4740: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4760: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4780: force 0.7942, moment 0.2500, torque Some(-0.0005449431278407024)
smoothing 0.003 evaluation 4800: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4820: force 0.7942, moment 0.2500, torque Some(-0.0005444016583801004)
smoothing 0.003 evaluation 4840: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4860: force 0.7942, moment 0.2500, torque Some(-0.0005449261712278108)
smoothing 0.003 evaluation 4880: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4900: force 0.7942, moment 0.2500, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4920: force 0.7942, moment 0.2502, torque Some(-0.0005449121338922946)
smoothing 0.003 evaluation 4940: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 4960: force 0.8948, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 4980: force 0.8934, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5000: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5020: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5040: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5060: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5080: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5100: force 0.8940, moment 0.2071, torque Some(-0.0005096575980259033)
smoothing 0.003 evaluation 5120: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5140: force 0.8940, moment 0.2071, torque Some(-0.0005095912317416573)
smoothing 0.003 evaluation 5160: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5180: force 0.8939, moment 0.2071, torque Some(-0.0005096335492035253)
smoothing 0.003 evaluation 5200: force 0.8940, moment 0.2071, torque Some(-0.000509734747541124)
smoothing 0.003 evaluation 5220: force 0.7577, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5240: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5260: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5280: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
smoothing 0.003 evaluation 5300: force 0.7578, moment 0.2595, torque Some(-0.009280072009393979)
