smoothing 0.00001 evaluation 5340: force 0.0916, moment 0.0259, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5360: force 0.0058, moment 0.0018, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5380: force 0.0009, moment 0.0004, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5400: force 0.0490, moment 0.0156, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5420: force 0.0071, moment 0.0020, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5440: force 0.0010, moment 0.0004, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5460: force 0.0728, moment 0.0067, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5480: force 0.0104, moment 0.0032, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5500: force 0.0045, moment 0.0012, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5520: force 0.0903, moment 0.0265, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5540: force 0.0056, moment 0.0027, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5560: force 0.0009, moment 0.0004, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5580: force 0.0483, moment 0.0125, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5600: force 0.0042, moment 0.0012, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5620: force 0.0009, moment 0.0004, torque Some(0.10698032179939432)
smoothing 0.00001 evaluation 5640: force 0.0027, moment 0.0007, torque Some(0.10695696229928608)
smoothing 0.00001 evaluation 5660: force 0.0009, moment 0.0004, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5680: force 0.0030, moment 0.0010, torque Some(0.107196075441085)
smoothing 0.00001 evaluation 5700: force 0.0010, moment 0.0005, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5720: force 0.0012, moment 0.0017, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5740: force 0.0009, moment 0.0004, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5760: force 0.0307, moment 0.0102, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5780: force 0.0009, moment 0.0004, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5800: force 0.0009, moment 0.0004, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5820: force 0.0058, moment 0.0017, torque Some(0.1069562641556443)
smoothing 0.00001 evaluation 5840: force 0.0009, moment 0.0004, torque Some(0.1069562641556443)
