evaluation 41400: force 0.13358484890409814, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 41600: force 0.13358484890409814, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 41800: force 0.13358484890409814, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 42000: force 0.13358484890409814, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 42200: force 0.13358484890409814, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 42400: force 0.13358335884550868, moment 0.06829686611184756, torque Some(0.2812981519543848)
evaluation 42600: force 0.1328802022868115, moment 0.06844818837540331, torque Some(0.28228488510511746)
evaluation 42800: force 0.1328802022868115, moment 0.06844818837540331, torque Some(0.28228488510511746)
evaluation 43000: force 0.1328802022868115, moment 0.06844818837540331, torque Some(0.28228488510511746)
evaluation 43200: force 0.1328802022868115, moment 0.06844818837540331, torque Some(0.28228488510511746)
evaluation 43400: force 0.1328802022868115, moment 0.068449106945672, torque Some(0.28228488510511746)
evaluation 43600: force 0.1328802022868115, moment 0.06844818837540331, torque Some(0.28228488510511746)
evaluation 43800: force 0.13087807910916274, moment 0.06893544817752087, torque Some(0.28499056052742644)
evaluation 44000: force 0.13087807910916274, moment 0.06893544817752087, torque Some(0.28499057071591627)
evaluation 44200: force 0.13087807910916274, moment 0.06893544817752087, torque Some(0.28499056052742644)
evaluation 44400: force 0.13087807910916274, moment 0.06893544817752087, torque Some(0.28499056052742644)
evaluation 44600: force 0.13087807910916274, moment 0.06894128226475463, torque Some(0.28499056052742644)
evaluation 44800: force 0.13087807910916274, moment 0.06893544817752087, torque Some(0.28499056052742644)
evaluation 45000: force 0.1304241090796048, moment 0.06908081123547091, torque Some(0.28577600621963684)
evaluation 45200: force 0.1304241090796048, moment 0.06908081123547091, torque Some(0.28577600621963684)
evaluation 45400: force 0.1304241090796048, moment 0.06908081123547091, torque Some(0.28577600621963684)
evaluation 45600: force 0.1304241090796048, moment 0.06908081123547091, torque Some(0.28577600621963684)
evaluation 45800: force 0.1304274702232323, moment 0.06908072601239734, torque Some(0.28577600621963684)
evaluation 46000: force 0.12989923403849157, moment 0.06921948971415574, torque Some(0.28654073236382827)
evaluation 46200: force 0.12989923403849157, moment 0.06921948971415574, torque Some(0.2865407389583441)
evaluation 46400: force 0.12989923403849157, moment 0.06921948971415574, torque Some(0.28654073236382827)
evaluation 46600: force 0.12989923403849157, moment 0.06921948971415574, torque Some(0.28654073236382827)
evaluation 46800: force 0.12989923403849157, moment 0.06921948971415574, torque Some(0.28654073236382827)
evaluation 47000: force 0.12989863732781867, moment 0.06921948971415574, torque Some(0.28654073236382827)
evaluation 47200: force 0.12893430475588363, moment 0.0696244598363891, torque Some(0.28869316109780807)
evaluation 47400: force 0.12893430475588363, moment 0.0696244598363891, torque Some(0.28869316109780807)
evaluation 47600: force 0.12893430475588363, moment 0.0696244598363891, torque Some(0.28869316109780807)
evaluation 47800: force 0.12893430475588363, moment 0.0696244598363891, torque Some(0.28869316109780807)
