evaluation 44000: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
evaluation 44200: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
evaluation 44400: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
evaluation 44600: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
evaluation 44800: force 0.09593892802746319, moment 0.040956881002997915, torque Some(0.269776430752398)
evaluation 45000: force 0.09608972040787213, moment 0.04093933669099731, torque Some(0.2695678224055863)
evaluation 45200: force 0.09582498988110637, moment 0.04113511017290061, torque Some(0.2695678224055863)
evaluation 45400: force 0.09608972040787213, moment 0.04093933669099731, torque Some(0.2695678224055863)
evaluation 45600: force 0.09608972040787213, moment 0.04093933669099731, torque Some(0.2695678224055863)
evaluation 45800: force 0.09608972040787213, moment 0.04093933669099731, torque Some(0.2695678224055863)
evaluation 46000: force 0.0972086284690011, moment 0.04059924213336375, torque Some(0.26886225191583524)
evaluation 46200: force 0.0972086284690011, moment 0.04059924213336375, torque Some(0.26886225191583524)
evaluation 46400: force 0.09719435205534248, moment 0.04060187590121332, torque Some(0.26886225191583524)
evaluation 46600: force 0.0972086284690011, moment 0.04059924213336375, torque Some(0.26886225191583524)
evaluation 46800: force 0.0972086284690011, moment 0.04059924213336375, torque Some(0.26886225191583524)
evaluation 47000: force 0.0972086284690011, moment 0.04059924213336375, torque Some(0.26886225191583524)
evaluation 47200: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.26622834377953347)
evaluation 47400: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.266228326105364)
evaluation 47600: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.26622834377953347)
evaluation 47800: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.26622834377953347)
evaluation 48000: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.26622834377953347)
evaluation 48200: force 0.09849615248181624, moment 0.03982585228674807, torque Some(0.26622834377953347)
evaluation 48400: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 48600: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 48800: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 49000: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 49200: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 49400: force 0.09853405041927664, moment 0.03962272149726888, torque Some(0.2660115923373988)
evaluation 49600: force 0.09857195760674876, moment 0.039658994535215576, torque Some(0.2659407581409228)
evaluation 49800: force 0.09856773705098683, moment 0.0396609470087061, torque Some(0.26594075157857117)
evaluation 50000: force 0.09857195760674876, moment 0.039658994535215576, torque Some(0.26594075157857117)
evaluation 50200: force 0.09857195760674876, moment 0.039658994535215576, torque Some(0.26594075157857117)
evaluation 50400: force 0.09857195760674876, moment 0.039658994535215576, torque Some(0.26594075157857117)
evaluation 50600: force 0.09863825199722444, moment 0.039459887129822006, torque Some(0.26575030963663754)
evaluation 50800: force 0.09863825199722444, moment 0.039459887129822006, torque Some(0.26575030963663754)
evaluation 51000: force 0.09863359518960371, moment 0.03946166475438834, torque Some(0.26575030963663754)
evaluation 51200: force 0.09863825199722444, moment 0.039459887129822006, torque Some(0.26575030963663754)
evaluation 51400: force 0.09863825199722444, moment 0.039459887129822006, torque Some(0.26575030963663754)
evaluation 51600: force 0.09863825199722444, moment 0.039459887129822006, torque Some(0.26575030963663754)
evaluation 51800: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 52000: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 52200: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 52400: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 52600: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 52800: force 0.09868848090253679, moment 0.03933160900119834, torque Some(0.26557597909756653)
evaluation 53000: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 53200: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 53400: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 53600: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 53800: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 54000: force 0.09870197061998577, moment 0.038983508848857824, torque Some(0.2651475676963662)
evaluation 54200: force 0.09851051432729266, moment 0.03829809275722645, torque Some(0.26511454603272033)
evaluation 54400: force 0.09851094872169572, moment 0.03829771390770944, torque Some(0.26511453554533027)
evaluation 54600: force 0.09851051432729266, moment 0.03829809275722645, torque Some(0.26511453554533027)
evaluation 54800: force 0.09851051432729266, moment 0.03829809275722645, torque Some(0.26511453554533027)
evaluation 55000: force 0.09851051432729266, moment 0.03829809275722645, torque Some(0.26511453554533027)
evaluation 55200: force 0.09851658013296842, moment 0.038966294615113924, torque Some(0.27006235803723017)
evaluation 55400: force 0.09851658013296842, moment 0.038966294615113924, torque Some(0.27006235803723017)
evaluation 55600: force 0.09851247884995687, moment 0.0389681919982775, torque Some(0.27006235803723017)
evaluation 55800: force 0.09851658013296842, moment 0.038966294615113924, torque Some(0.27006235803723017)
evaluation 56000: force 0.09851658013296842, moment 0.038966294615113924, torque Some(0.27006235803723017)
evaluation 56200: force 0.09851658013296842, moment 0.038966294615113924, torque Some(0.27006235803723017)
evaluation 56400: force 0.09825401320315723, moment 0.03921928874620988, torque Some(0.27070629532612883)
evaluation 56600: force 0.09825401320315723, moment 0.03921928874620988, torque Some(0.27070629532612883)
evaluation 56800: force 0.09828530097807388, moment 0.03917528316090814, torque Some(0.27070629532612883)
evaluation 57000: force 0.09825401320315723, moment 0.03921928874620988, torque Some(0.27070629532612883)
evaluation 57200: force 0.09825401320315723, moment 0.03921928874620988, torque Some(0.27070629532612883)
evaluation 57400: force 0.09825401320315723, moment 0.03921928874620988, torque Some(0.27070629532612883)
evaluation 57600: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 57800: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 58000: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 58200: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 58400: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 58600: force 0.09843548539822439, moment 0.03910478920810107, torque Some(0.2714924533273441)
evaluation 58800: force 0.09843359671192072, moment 0.039139109246281854, torque Some(0.27235336668553983)
evaluation 59000: force 0.098433596511164, moment 0.039139186065874416, torque Some(0.2723533677956709)
evaluation 59200: force 0.09843359671192072, moment 0.039139109246281854, torque Some(0.2723533677956709)
evaluation 59400: force 0.09843359671192072, moment 0.039139109246281854, torque Some(0.2723533677956709)
evaluation 59600: force 0.09843359671192072, moment 0.039139109246281854, torque Some(0.2723533677956709)
evaluation 59800: force 0.09853446005397397, moment 0.039311338828139995, torque Some(0.2745127459348834)
evaluation 60000: force 0.09853446005397397, moment 0.039311338828139995, torque Some(0.2745127446537784)
evaluation 60200: force 0.09852673106258426, moment 0.03931334741444518, torque Some(0.2745127459348834)
evaluation 60400: force 0.09853446005397397, moment 0.039311338828139995, torque Some(0.2745127459348834)
evaluation 60600: force 0.09853446005397397, moment 0.039311338828139995, torque Some(0.2745127459348834)
evaluation 60800: force 0.09853446005397397, moment 0.039311338828139995, torque Some(0.2745127459348834)
evaluation 61000: force 0.09861280764393734, moment 0.039446428066692046, torque Some(0.2762501988276798)
