evaluation 39000: force 0.06696097574702814, moment 0.02200105975366752, torque Some(-3.554006117978403e-5)
evaluation 39200: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 39400: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 39600: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 39800: force 0.06656050079000898, moment 0.02195147417776159, torque Some(-1.904650510908823e-5)
evaluation 40000: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 40200: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 40400: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 40600: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 40800: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 41000: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 41200: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 41400: force 0.06656050079000898, moment 0.021951365730271268, torque Some(-1.904650510908823e-5)
evaluation 41600: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 41800: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 42000: force 0.0664397810941069, moment 0.021936409973929205, torque Some(-0.0003809158760683662)
evaluation 42200: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 42400: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 42600: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 42800: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 43000: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 43200: force 0.06643178916676239, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 43400: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 43600: force 0.0664397810941069, moment 0.021936618041805515, torque Some(-0.0003809158760683662)
evaluation 43800: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 44000: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387500876184113e-5)
evaluation 44200: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 44400: force 0.06639964680891165, moment 0.02192878382636046, torque Some(-3.387438429669487e-5)
evaluation 44600: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 44800: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 45000: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 45200: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 45400: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 45600: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 45800: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 46000: force 0.06639964680891165, moment 0.021932184023917306, torque Some(-3.387438429669487e-5)
evaluation 46200: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 46400: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 46600: force 0.06628266549250568, moment 0.02192270931305826, torque Some(-2.0128107529382433e-5)
evaluation 46800: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 47000: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 47200: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 47400: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 47600: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 47800: force 0.06626472992701607, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 48000: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 48200: force 0.06628266549250568, moment 0.021917244424836523, torque Some(-2.0128107529382433e-5)
evaluation 48400: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 48600: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-1.9020041627237916e-5)
evaluation 48800: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 49000: force 0.06595455533090397, moment 0.02187094559863171, torque Some(-2.0375061182908993e-5)
evaluation 49200: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 49400: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 49600: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 49800: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 50000: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 50200: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 50400: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 50600: force 0.06595455533090397, moment 0.02187102991749893, torque Some(-2.0375061182908993e-5)
evaluation 50800: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 51000: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 51200: force 0.06594447939639718, moment 0.021870183504623775, torque Some(-6.440237298255269e-5)
evaluation 51400: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 51600: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 51800: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 52000: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 52200: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 52400: force 0.06569379945048617, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 52600: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 52800: force 0.06594447939639718, moment 0.02186981323679582, torque Some(-6.440237298255269e-5)
evaluation 53000: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 53200: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 53400: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 53600: force 0.06593427033694213, moment 0.021862588901409366, torque Some(-1.95579122059808e-5)
evaluation 53800: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 54000: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 54200: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 54400: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 54600: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 54800: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 55000: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 55200: force 0.06593427033694213, moment 0.02186855247948251, torque Some(-1.95579122059808e-5)
evaluation 55400: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.9043228796755685e-5)
evaluation 55600: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 55800: force 0.06590392358953838, moment 0.021870523660318344, torque Some(-1.897387959237662e-5)
evaluation 56000: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 56200: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 56400: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 56600: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 56800: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 57000: force 0.06591030690810572, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
evaluation 57200: force 0.06590392358953838, moment 0.02186483949140834, torque Some(-1.897387959237662e-5)
