smoothing 0.00001 evaluation 3520: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3540: force 1.0071, moment 0.3750, torque Some(-0.012890267283038437)
smoothing 0.00001 evaluation 3560: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3580: force 1.0071, moment 0.3750, torque Some(-0.01286364734758716)
smoothing 0.00001 evaluation 3600: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3620: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3640: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3660: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3680: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3700: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3720: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3740: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3760: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3780: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3800: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3820: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3840: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3860: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3880: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3900: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3920: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3940: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3960: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 3980: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4000: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4020: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4040: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4060: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4080: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4100: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4120: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4140: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4160: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4180: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4200: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4220: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4240: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4260: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4280: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4300: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4320: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4340: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4360: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4380: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4400: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4420: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4440: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4460: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4480: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4500: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4520: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4540: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4560: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4580: force 1.0001, moment 0.3722, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4600: force 1.0071, moment 0.3750, torque Some(-0.012885120500686353)
smoothing 0.00001 evaluation 4620: force 0.2696, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4640: force 0.2706, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4660: force 0.2704, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4680: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4700: force 0.2706, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4720: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4740: force 0.2705, moment 0.1145, torque Some(-0.00012426153896849534)
smoothing 0.00001 evaluation 4760: force 0.2705, moment 0.1145, torque Some(-6.110918114021757e-5)
smoothing 0.00001 evaluation 4780: force 0.2705, moment 0.1145, torque Some(-7.570447518601142e-5)
smoothing 0.00001 evaluation 4800: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4820: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4840: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4860: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4880: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4900: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4920: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4940: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4960: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 4980: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5000: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5020: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5040: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
smoothing 0.00001 evaluation 5060: force 0.2705, moment 0.1145, torque Some(-7.567772472150125e-5)
