evaluation 40200: force 0.1543131376775239, moment 0.08795795032908776, torque Some(0.24825128292074936)
evaluation 40400: force 0.15370118483206607, moment 0.08789442455223798, torque Some(0.24865896679732932)
evaluation 40600: force 0.15370118483206607, moment 0.08789442455223798, torque Some(0.24865896679732932)
evaluation 40800: force 0.15370118483206607, moment 0.08789442455223798, torque Some(0.24865896679732932)
evaluation 41000: force 0.15370118483206607, moment 0.08789442455223798, torque Some(0.24865896679732932)
evaluation 41200: force 0.15369787478608204, moment 0.08789455062800808, torque Some(0.24865896679732932)
evaluation 41400: force 0.15210221021331544, moment 0.08774187684482339, torque Some(0.24984743684620528)
evaluation 41600: force 0.15210221021331544, moment 0.08774187684482339, torque Some(0.24984743795180364)
evaluation 41800: force 0.15210221021331544, moment 0.08774187684482339, torque Some(0.24984743684620528)
evaluation 42000: force 0.15210221021331544, moment 0.08774187684482339, torque Some(0.24984743684620528)
evaluation 42200: force 0.15210221021331544, moment 0.08774187684482339, torque Some(0.24984743684620528)
evaluation 42400: force 0.15205394800622662, moment 0.08774187684482339, torque Some(0.24984743684620528)
evaluation 42600: force 0.1487246349539762, moment 0.08730012497300085, torque Some(0.25314764032294645)
evaluation 42800: force 0.1487246349539762, moment 0.08730012497300085, torque Some(0.25314764032294645)
evaluation 43000: force 0.1487246349539762, moment 0.08730012497300085, torque Some(0.25314764032294645)
evaluation 43200: force 0.1487246349539762, moment 0.08730012497300085, torque Some(0.25314764032294645)
evaluation 43400: force 0.1487246349539762, moment 0.08730023236629125, torque Some(0.25314764032294645)
evaluation 43600: force 0.1487246349539762, moment 0.08730012497300085, torque Some(0.25314764032294645)
evaluation 43800: force 0.1463733009454899, moment 0.08682937641552563, torque Some(0.25609222267636655)
evaluation 44000: force 0.1463733009454899, moment 0.08682937641552563, torque Some(0.25609222267636655)
evaluation 44200: force 0.1463733009454899, moment 0.08682937641552563, torque Some(0.25609222267636655)
evaluation 44400: force 0.1463733009454899, moment 0.08682937641552563, torque Some(0.25609222267636655)
evaluation 44600: force 0.1463733009454899, moment 0.08682938597980788, torque Some(0.25609222267636655)
evaluation 44800: force 0.1463733009454899, moment 0.08682937641552563, torque Some(0.25609222267636655)
evaluation 45000: force 0.14414224141314794, moment 0.0862777079289317, torque Some(0.2586974917004729)
evaluation 45200: force 0.14414224141314794, moment 0.0862777079289317, torque Some(0.2586974917004729)
evaluation 45400: force 0.14414224141314794, moment 0.0862777079289317, torque Some(0.2586974917004729)
evaluation 45600: force 0.14414224141314794, moment 0.0862777079289317, torque Some(0.2586974917004729)
evaluation 45800: force 0.1440737473426803, moment 0.08628060568158546, torque Some(0.2586974917004729)
evaluation 46000: force 0.14408146984541717, moment 0.08629118787203545, torque Some(0.2587726343795751)
evaluation 46200: force 0.14408146984541717, moment 0.08629118787203545, torque Some(0.25877262778192184)
evaluation 46400: force 0.14408146984541717, moment 0.08629118787203545, torque Some(0.2587726343795751)
evaluation 46600: force 0.14408146984541717, moment 0.08629118787203545, torque Some(0.2587726343795751)
evaluation 46800: force 0.14408146984541717, moment 0.08629118787203545, torque Some(0.2587726343795751)
evaluation 47000: force 0.1440820557052223, moment 0.08629118787203545, torque Some(0.2587726343795751)
evaluation 47200: force 0.14392717297242716, moment 0.08624978257048414, torque Some(0.25899710031835166)
evaluation 47400: force 0.14392717297242716, moment 0.08624978257048414, torque Some(0.25899710031835166)
evaluation 47600: force 0.14392717297242716, moment 0.08624978257048414, torque Some(0.25899710031835166)
evaluation 47800: force 0.14392717297242716, moment 0.08624978257048414, torque Some(0.25899710031835166)
evaluation 48000: force 0.14392717297242716, moment 0.08625021434187309, torque Some(0.25899710031835166)
evaluation 48200: force 0.14392717297242716, moment 0.08624978257048414, torque Some(0.25899710031835166)
evaluation 48400: force 0.14336291953253522, moment 0.08613609410592146, torque Some(0.25966141752693017)
evaluation 48600: force 0.14336291953253522, moment 0.08613609410592146, torque Some(0.25966141752693017)
evaluation 48800: force 0.14336291953253522, moment 0.08613609410592146, torque Some(0.25966141752693017)
evaluation 49000: force 0.14336291953253522, moment 0.08613609410592146, torque Some(0.25966141752693017)
evaluation 49200: force 0.14336291953253522, moment 0.08613567824865362, torque Some(0.25966141752693017)
evaluation 49400: force 0.14336291953253522, moment 0.08613609410592146, torque Some(0.25966141752693017)
evaluation 49600: force 0.1416974227318121, moment 0.08569256087703014, torque Some(0.2615723854175604)
evaluation 49800: force 0.1416974227318121, moment 0.08569256087703014, torque Some(0.2615723854175604)
evaluation 50000: force 0.1416974227318121, moment 0.08569256087703014, torque Some(0.2615723854175604)
evaluation 50200: force 0.1416974227318121, moment 0.08569256087703014, torque Some(0.2615723854175604)
evaluation 50400: force 0.1416974227318121, moment 0.08573633263254847, torque Some(0.2615723854175604)
evaluation 50600: force 0.1412251632500945, moment 0.08556359043370211, torque Some(0.2621272061765353)
evaluation 50800: force 0.1412251632500945, moment 0.08556359043370211, torque Some(0.26212721677207357)
evaluation 51000: force 0.1412251632500945, moment 0.08556359043370211, torque Some(0.2621272061765353)
evaluation 51200: force 0.1412251632500945, moment 0.08556359043370211, torque Some(0.2621272061765353)
evaluation 51400: force 0.1412251632500945, moment 0.08556359043370211, torque Some(0.2621272061765353)
evaluation 51600: force 0.14117458976470565, moment 0.08556359043370211, torque Some(0.2621272061765353)
evaluation 51800: force 0.1407755119530872, moment 0.0854422021927926, torque Some(0.2626842786143358)
evaluation 52000: force 0.1407755119530872, moment 0.0854422021927926, torque Some(0.2626842786143358)
evaluation 52200: force 0.1407755119530872, moment 0.0854422021927926, torque Some(0.2626842786143358)
evaluation 52400: force 0.1407755119530872, moment 0.0854422021927926, torque Some(0.2626842786143358)
evaluation 52600: force 0.1407755119530872, moment 0.0854022364498391, torque Some(0.2626842786143358)
evaluation 52800: force 0.1407755119530872, moment 0.0854422021927926, torque Some(0.2626842786143358)
evaluation 53000: force 0.13939268286206907, moment 0.08502827630091239, torque Some(0.26428492161211536)
evaluation 53200: force 0.13939268286206907, moment 0.08502827630091239, torque Some(0.26428492161211536)
evaluation 53400: force 0.13939268286206907, moment 0.08502827630091239, torque Some(0.26428492161211536)
evaluation 53600: force 0.13939268286206907, moment 0.08502827630091239, torque Some(0.26428492161211536)
evaluation 53800: force 0.13939268286206907, moment 0.08525311188857934, torque Some(0.26428492161211536)
evaluation 54000: force 0.13939268286206907, moment 0.08502827630091239, torque Some(0.26428492161211536)
evaluation 54200: force 0.13654083268048675, moment 0.08304529266736677, torque Some(0.2686263221305973)
evaluation 54400: force 0.13654083268048675, moment 0.08304529266736677, torque Some(0.2686263221305973)
evaluation 54600: force 0.13654083268048675, moment 0.08304529266736677, torque Some(0.2686263221305973)
evaluation 54800: force 0.13654083268048675, moment 0.08304529266736677, torque Some(0.2686263221305973)
evaluation 55000: force 0.13654083268048675, moment 0.08304601530197413, torque Some(0.2686263221305973)
evaluation 55200: force 0.1365055005434683, moment 0.08280450352696847, torque Some(0.2686680078166095)
evaluation 55400: force 0.1365055005434683, moment 0.08280450352696847, torque Some(0.2686680094985511)
evaluation 55600: force 0.1365055005434683, moment 0.08280450352696847, torque Some(0.2686680078166095)
evaluation 55800: force 0.1365055005434683, moment 0.08280450352696847, torque Some(0.2686680078166095)
evaluation 56000: force 0.1365055005434683, moment 0.08280450352696847, torque Some(0.2686680078166095)
