smoothing 0.003 evaluation 3720: force 2.8479, moment 0.6924, torque Some(-0.003902192380768943)
smoothing 0.003 evaluation 3740: force 2.8479, moment 0.6924, torque Some(-0.003904169322597628)
smoothing 0.003 evaluation 3760: force 2.8479, moment 0.6924, torque Some(-0.0039048838535220565)
smoothing 0.003 evaluation 3780: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3800: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3820: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3840: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3860: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3880: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3900: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3920: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3940: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 3960: force 2.7287, moment 0.7041, torque Some(-0.03733156669716897)
smoothing 0.003 evaluation 3980: force 2.7287, moment 0.7041, torque Some(-0.03733175952803003)
smoothing 0.003 evaluation 4000: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 4020: force 2.7287, moment 0.7041, torque Some(-0.037330024038977117)
smoothing 0.003 evaluation 4040: force 2.7287, moment 0.7041, torque Some(-0.037330584098738795)
smoothing 0.003 evaluation 4060: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4080: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4100: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4120: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4140: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4160: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4180: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4200: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4220: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4240: force 2.6893, moment 0.7082, torque Some(-0.003965397315724539)
smoothing 0.003 evaluation 4260: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4280: force 2.6893, moment 0.7082, torque Some(-0.003965268499440011)
smoothing 0.003 evaluation 4300: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4320: force 2.6893, moment 0.7082, torque Some(-0.003965213070411977)
smoothing 0.003 evaluation 4340: force 2.6893, moment 0.7082, torque Some(-0.003964585166639001)
smoothing 0.003 evaluation 4360: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4380: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4400: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4420: force 2.5898, moment 0.7079, torque Some(-0.04084147844042055)
smoothing 0.003 evaluation 4440: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4460: force 2.5898, moment 0.7079, torque Some(-0.04084154341531279)
smoothing 0.003 evaluation 4480: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4500: force 2.5898, moment 0.7079, torque Some(-0.04083760260754157)
smoothing 0.003 evaluation 4520: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4540: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4560: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4580: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4600: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4620: force 2.5898, moment 0.7079, torque Some(-0.04084153454466677)
smoothing 0.003 evaluation 4640: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4660: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4680: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4700: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4720: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4740: force 2.4938, moment 0.7031, torque Some(-0.029471824715762318)
smoothing 0.003 evaluation 4760: force 2.4938, moment 0.7031, torque Some(-0.029471258494764563)
smoothing 0.003 evaluation 4780: force 2.4938, moment 0.7031, torque Some(-0.02947119383448088)
smoothing 0.003 evaluation 4800: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4820: force 2.4938, moment 0.7031, torque Some(-0.02947309403469517)
smoothing 0.003 evaluation 4840: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4860: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4880: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4900: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4920: force 2.4938, moment 0.7031, torque Some(-0.029471860405763883)
smoothing 0.003 evaluation 4940: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 4960: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 4980: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5000: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5020: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5040: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5060: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5080: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5100: force 2.2919, moment 0.7236, torque Some(-0.023064572852505405)
smoothing 0.003 evaluation 5120: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5140: force 2.2919, moment 0.7236, torque Some(-0.02306393404327234)
smoothing 0.003 evaluation 5160: force 2.2919, moment 0.7236, torque Some(-0.023065124286641536)
smoothing 0.003 evaluation 5180: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5200: force 2.2919, moment 0.7236, torque Some(-0.023063841960119902)
smoothing 0.003 evaluation 5220: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5240: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5260: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5280: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5300: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5320: force 2.2496, moment 0.7104, torque Some(-0.002351797973946912)
smoothing 0.003 evaluation 5340: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5360: force 2.2496, moment 0.7104, torque Some(-0.0023524642350130076)
smoothing 0.003 evaluation 5380: force 2.2496, moment 0.7104, torque Some(-0.0023513439042743833)
smoothing 0.003 evaluation 5400: force 2.2496, moment 0.7104, torque Some(-0.002351274977002049)
smoothing 0.003 evaluation 5420: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5440: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5460: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5480: force 2.2496, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5500: force 2.2497, moment 0.7104, torque Some(-0.002351816843545018)
smoothing 0.003 evaluation 5520: force 2.1368, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5540: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5560: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5580: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5600: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5620: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5640: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5660: force 2.1367, moment 0.6979, torque Some(-0.0035745006148724112)
smoothing 0.003 evaluation 5680: force 2.1367, moment 0.6979, torque Some(-0.003574585465005997)
