smoothing 0.003 evaluation 5560: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5580: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5600: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5620: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5640: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5660: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5680: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5700: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5720: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5740: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5760: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5780: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5800: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5820: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5840: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5860: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5880: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5900: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5920: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5940: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
smoothing 0.003 evaluation 5960: force 6.5771, moment 0.4200, torque Some(-0.04946982069386463)
