evaluation 57200: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 57400: force 0.06844547184938266, moment 0.02747364078777173, torque Some(0.3118978598149647)
evaluation 57600: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 57800: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 58000: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 58200: force 0.06843850810276342, moment 0.027468125271989757, torque Some(0.3119033306221404)
evaluation 58400: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 58600: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 58800: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 59000: force 0.06905635978540448, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 59200: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 59400: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 59600: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 59800: force 0.06843850810276342, moment 0.02746688423970389, torque Some(0.3119033306221404)
evaluation 60000: force 0.06839576013198578, moment 0.02746146370256584, torque Some(0.31192483689521805)
evaluation 60200: force 0.06839576013198578, moment 0.02746146370256584, torque Some(0.31192483689521805)
evaluation 60400: force 0.06839576013198578, moment 0.02746146370256584, torque Some(0.3119248365044724)
evaluation 60600: force 0.06839576013198578, moment 0.02746146370256584, torque Some(0.31192483689521805)
evaluation 60800: force 0.06839576013198578, moment 0.02746146370256584, torque Some(0.31192483689521805)
